n,t
10,2.6295
11,2.81388
12,3.02255
13,3.28351
14,3.51785
15,3.74082
16,1.85801
17,1.85
18,1.85823
19,1.83487
20,1.88789
21,1.84765
22,1.8377
23,1.89225
24,1.90518
25,1.87837
26,2.31079
27,1.99646
28,1.8883
29,1.85291
30,1.85327
31,1.86459
32,1.67476
33,1.62596
34,1.70431
35,1.72851
36,1.74451
37,1.72166
38,1.62744
39,1.67633
40,1.69191
41,1.64001
42,1.6264
43,1.61494
44,1.68024
45,1.66615
46,1.66003
47,1.70243
48,1.72346
49,1.63135
50,1.61238
51,1.62517
52,1.70825
53,1.61792
54,1.62032
55,1.64031
56,1.63156
57,1.64672
58,1.63639
59,1.62921
60,1.61994
61,1.72264
62,1.61383
63,1.64947
64,1.67813
65,1.65935
66,1.65399
67,1.66554
68,1.67368
69,1.80667
70,1.64988
71,1.65995
72,1.66377
73,1.66254
74,1.66022
75,1.63149
76,1.63444
77,1.64052
78,1.63405
79,1.64022
80,1.66332
81,1.64086
82,1.65806
83,1.63588
84,1.63778
85,1.6412
86,1.65376
87,1.63428
88,1.66022
89,1.66497
90,1.68436
91,1.66276
92,1.6313
93,1.64561
94,1.65424
95,1.65537
96,1.6489
97,1.71583
98,1.66407
99,1.66248
100,1.65659
101,1.63854
102,1.65942
103,1.63563
104,1.65263
105,1.66692
106,1.6458
107,1.67854
108,1.63497
109,1.63482
110,1.66467
111,1.62886
112,1.75628
113,1.69361
114,1.65004
115,1.67736
116,1.63931
117,1.64742
118,1.66021
119,1.65463
120,1.65545
121,1.62859
122,1.6382
123,1.63674
124,1.66173
125,1.63397
126,1.66344
127,1.65827
128,1.68844
129,1.6799
130,1.71813
131,1.70987
132,1.70144
133,1.77641
134,1.69162
135,1.78831
136,1.70793
137,1.70474
138,1.69316
139,1.69028
140,1.70615
141,1.70037
142,1.68456
143,1.70393
144,1.68766
145,1.8241
146,2.14652
147,3.3248
148,1.89629
149,1.82189
150,1.76322
151,1.71995
152,1.72663
153,1.71839
154,1.72084
155,1.7139
156,1.70304
157,1.69961
158,1.70332
159,1.70166
160,1.71127
161,1.73155
162,1.70862
163,1.70129
164,1.71512
165,1.71553
166,1.76493
167,1.81739
168,1.87127
169,1.71139
170,1.6991
171,1.71978
172,1.69551
173,1.71226
174,1.70579
175,1.70641
176,1.71724
177,1.71083
178,1.71044
179,1.70227
180,1.68713
181,1.71559
182,1.70347
183,1.85139
184,1.77199
185,1.73214
186,1.71062
187,1.68749
188,1.70937
189,1.70976
190,1.69405
191,1.71667
192,1.71177
193,1.69405
194,1.71226
195,1.71393
196,1.69786
197,1.75094
198,1.75175
199,1.72506
